ORD,null,NLCS: Los Angeles Dodgers at Chicago Cubs - Game 5,sports,sports,41.9474,-87.6566,0.0,0.0,20171020
AEP,null,Torneo Federal A - Zone 3 - Gimnasia Concepción vs Central Córdoba SdE,sports,sports,-32.472718,-58.227335,0.0,0.0,20171020
OAK,null,Kansas City Chiefs vs Oakland Raiders,sports,sports,37.7469,-122.201,0.0,0.0,20171020
BUR,null,NoHo Food Truck Collective,festivals,festivals,34.164925,-118.38042,0.0,0.0,20171020
FSD,null,Flood Warning for Emmet,severe-weather,severe-weather,43.3779,-94.6784,0.0,0.0,20171020
SLA,null,Torneo Federal A - Zone 4 - Gimnasia y Tiro vs Deportivo Mandiyú,sports,sports,-24.783394,-65.404186,0.0,0.0,20171020
MDZ,null,Torneo Federal A - Zone 2 - Sportivo Desamparados vs Unión Villa Krause,sports,sports,-31.5273,-68.562799,0.0,0.0,20171020
STL,null,Thomas Rhett with Old Dominion and Walker Hayes,concerts,concerts,38.9325,-92.335,0.0,0.0,20171020
ORD,null,Neil Sedaka,concerts,concerts,41.9138,-88.3122,0.0,0.0,20171020
BUF,null,Melissa Etheridge (19+),concerts,concerts,43.0896,-79.0849,0.0,0.0,20171020
YOW,null,Kyrie Kristmanson,concerts,concerts,45.4215,-75.6972,0.0,0.0,20171020
IAH,null,Bob Seger & The Silver Bullet Band,concerts,concerts,30.161908,-95.464351,0.0,0.0,20171020
CCS,null,Significant Delays - Simon Bolivar International Airport (CCS),airport-delays,airport-delays,10.596942,-67.005511,0.0,0.0,20171020
HEL,null,Psycroptic with Dying Fetus and Beyond Creation and Disentomb,concerts,concerts,60.1596,24.9311,0.0,0.0,20171020
MSY,null,The xx with Perfume Genius,concerts,concerts,29.9459,-90.0819,0.0,0.0,20171020
COR,null,Torneo Federal A - Zone 2 - Estudiantes Río Cuarto vs Deportivo Maipú,sports,sports,-33.11485,-64.347664,0.0,0.0,20171020
RES,null,Torneo Federal A - Zone 4 - Sarmiento Resistencia vs San Jorge Tucumán,sports,sports,-27.44343,-59.010712,0.0,0.0,20171020
BWI,null,Esperanza Spalding,concerts,concerts,39.3041,-76.6186,0.0,0.0,20171020
LAS,null,Hitzville,festivals,festivals,36.124401,-115.145103,0.0,0.0,20171020
LPB,null,Severe Delays - Alejandro Velasco Astete International Airport (CUZ),airport-delays,airport-delays,-13.538429,-71.943714,0.0,0.0,20171020
ORD,null,Edmonton Oilers vs Chicago Blackhawks,sports,sports,41.8806,-87.6742,0.0,0.0,20171020
LPB,null,LFPB - Clausura Adecuación - The Strongest vs Blooming,sports,sports,-16.49933,-68.12268,0.0,0.0,20171020
SAT,null,The Weekend: Starboy Tour,concerts,concerts,29.427071,-98.437446,0.0,0.0,20171020
PIA,null,October's Own Homecoming Concert,concerts,concerts,40.511654,-88.992391,0.0,0.0,20171020
BOG,null,Primera A - Clausura - Tigres vs América de Cali,sports,sports,4.623335,-74.135259,0.0,0.0,20171020
SHB,null,M 4.8 - 125km ESE of Kuril'sk Russia,disasters,disasters,44.7331,149.3152,0.0,0.0,20171020
MAF,null,Breaking Benjamin,concerts,concerts,31.9714,-102.252,0.0,0.0,20171020
IAH,null,Kid Cudi,concerts,concerts,29.7624,-95.3672,0.0,0.0,20171020
ELP,null,Marshall University Thundering Herd vs UTEP Miners Women's Soccer,sports,sports,31.7748,-106.497,0.0,0.0,20171020
MSP,null,Milky Chance,concerts,concerts,44.9773,-93.275,0.0,0.0,20171020
IAH,null,Madeintyo,concerts,concerts,29.7858,-95.367,0.0,0.0,20171020
OAK,null,6th Annual Autumn Lights Festival,festivals,festivals,37.807147,-122.258674,0.0,0.0,20171020
MEX,null,El show de Viva la Gente,concerts,concerts,19.40807,-99.167877,0.0,0.0,20171020
MKC,null,Janet Jackson,concerts,concerts,39.0979,-94.5803,0.0,0.0,20171020
IAH,null,Marc Anthony,concerts,concerts,29.7505,-95.3622,0.0,0.0,20171020
BAV,null,Severe Delays - Baotou Airport (BAV),airport-delays,airport-delays,40.563442,109.998495,0.0,0.0,20171020
DEN,null,Shuttles to Red Rocks - 10/19 - DeadMau5,concerts,concerts,39.670234,-105.203902,0.0,0.0,20171020
LGA,null,Nicolas Jaar,concerts,concerts,40.7194,-73.9388,0.0,0.0,20171020
ABQ,null,Luke Bryan,concerts,concerts,34.9974,-106.622,0.0,0.0,20171020
SIT,null,Severe Delays - Juneau International Airport (JNU),airport-delays,airport-delays,58.359323,-134.583395,0.0,0.0,20171020
MKE,null,Kesha,concerts,concerts,43.0382,-87.9433,0.0,0.0,20171020
SIT,null,Severe Delays - Juneau International Airport (JNU),airport-delays,airport-delays,58.359323,-134.583395,0.0,0.0,20171020
JUJ,null,Torneo Federal A - Zone 4 - AH Zapla vs Juventud Antoniana,sports,sports,-24.257289,-65.210043,0.0,0.0,20171020
SGF,null,The Lettermen,concerts,concerts,36.6409,-93.2654,0.0,0.0,20171020
DEN,null,St Louis Blues vs Colorado Avalanche,sports,sports,39.7487,-105.008,0.0,0.0,20171020
DFW,null,El Manicomio - Cosculluela,concerts,concerts,32.870384,-96.894315,0.0,0.0,20171020
MEX,null,Morat,concerts,concerts,19.425001,-99.18773,0.0,0.0,20171020
YYZ,null,The Hustle: Edition 28 ft City Fidelia Tremayne Vic NS,concerts,concerts,43.643136,-79.4246,0.0,0.0,20171020
ZCL,null,Morat (Incluye boleto canje por CD),concerts,concerts,23.634501,-102.552784,0.0,0.0,20171020
SNA,null,Damian Marley with Kabaka Pyramid,concerts,concerts,33.8353,-117.915,0.0,0.0,20171020
DCA,null,Dusky,concerts,concerts,38.9163,-77.0214,0.0,0.0,20171020
BOS,null,Anders Osborne with Jackie Greene,concerts,concerts,42.3638,-71.059,0.0,0.0,20171020
OAK,null,Alison Krauss with David Gray,concerts,concerts,37.8736,-122.254,0.0,0.0,20171020
SAN,null,Skillet with Air 1 Positive Hits Tour and Britt Nicole,concerts,concerts,32.7772,-117.076,0.0,0.0,20171020
DFW,null,Frank Foster,concerts,concerts,32.7555,-97.3308,0.0,0.0,20171020
ZCL,null,Abel Pintos "11",concerts,concerts,23.634501,-102.552784,0.0,0.0,20171020
PHX,null,Randy Houser,concerts,concerts,33.4658,-112.09,0.0,0.0,20171020
PUW,null,Big Daddy Weave with We Are Messengers,concerts,concerts,46.7216,-117.187,0.0,0.0,20171020
DEN,null,Marilyn Manson,concerts,concerts,39.7404,-104.977,0.0,0.0,20171020
GDL,null,Timbiriche,concerts,concerts,20.733318,-103.381293,0.0,0.0,20171020
SAP,null,CONCACAF League - Final - Olimpia vs Santos de Guápiles,sports,sports,15.470142,-88.00684,0.0,0.0,20171020
GEG,null,Chris Knight,concerts,concerts,47.665927,-117.3972,0.0,0.0,20171020
SDU,null,In Flames,concerts,concerts,-22.911985,-43.181611,0.0,0.0,20171020
LAS,null,Jabbawockeez,concerts,concerts,36.102916,-115.169756,0.0,0.0,20171020
PHX,null,Dallas Stars vs Arizona Coyotes,sports,sports,33.5315,-112.261,0.0,0.0,20171020
CNS,null,M 5.3 - 127km NNE of Lae Papua New Guinea,disasters,disasters,-5.6054,147.271,0.0,0.0,20171020
SFO,null,Speechless SF October 19th!,concerts,concerts,37.768987,-122.419379,0.0,0.0,20171020
SNA,null,The Expanders,concerts,concerts,33.699807,-117.917611,0.0,0.0,20171020
PHX,null,A Day To Remember,concerts,concerts,33.4369,-111.944,0.0,0.0,20171020
GOI,null,Severe Delays - Dabolim Airport (GOI),airport-delays,airport-delays,15.384534,73.839825,0.0,0.0,20171020
MTY,null,Luis Fonsi,concerts,concerts,25.679489,-100.268934,0.0,0.0,20171020
SAN,null,ODESZA with Sofi Tukker,concerts,concerts,32.7553,-117.212,0.0,0.0,20171020
LAX,null,Los Angeles Clippers vs Los Angeles Lakers,sports,sports,34.0431,-118.267,0.0,0.0,20171020
SFO,null,Andrew Bird,festivals,festivals,37.7763,-122.421,0.0,0.0,20171020
YXJ,null,Foreigner,concerts,concerts,55.7448,-120.206,0.0,0.0,20171020
LGA,null,Marbin,concerts,concerts,40.6712,-73.9635,0.0,0.0,20171020
BUR,null,Haim with Rostam,concerts,concerts,34.1206,-118.296,0.0,0.0,20171020
LAX,null,Travis Tritt,concerts,concerts,33.7722,-118.376,0.0,0.0,20171020
SFO,null,The Jesus and Mary Chain with Cold Cave,concerts,concerts,37.784,-122.433,0.0,0.0,20171020
OAK,null,Joe Bonamassa,concerts,concerts,37.7825,-122.41,0.0,0.0,20171020
SFO,null,The Jesus and Mary Chain with Cold Cave,concerts,concerts,37.784,-122.433,0.0,0.0,20171020
SFO,null,Jimmy Buffett with Tim Hockenberry,concerts,concerts,37.7785,-122.418,0.0,0.0,20171020
PHX,null,Dallas Stars At Arizona Coyotes,sports,sports,33.713501,-112.142403,0.0,0.0,20171020
LAX,null,Avenged Sevenfold,concerts,concerts,34.0522,-118.244,0.0,0.0,20171020
PHX,null,Carlos Menica,concerts,concerts,33.447517,-112.074272,0.0,0.0,20171020
SBA,null,Ozomatli,concerts,concerts,34.4213,-119.7,0.0,0.0,20171020
CIC,null,Gareth Emery,concerts,concerts,39.7293,-121.842,0.0,0.0,20171020
PHX,null,Andre Rieu,concerts,concerts,33.448775,-112.079564,0.0,0.0,20171020
SJC,null,Washington Huskies at Stanford Cardinal Women's Volleyball,sports,sports,37.429623,-122.160633,0.0,0.0,20171020
LAX,null,Johnnyswim,concerts,concerts,34.0449,-118.265,0.0,0.0,20171020
OAK,null,John Mark McMillan with Kings Kaleidoscope,concerts,concerts,37.8663,-122.267,0.0,0.0,20171020
OME,null,Severe Delays - Nome Airport (OME),airport-delays,airport-delays,64.510601,-165.431055,0.0,0.0,20171020
BUR,null,Echosmith with Banners,concerts,concerts,34.1,-118.32,0.0,0.0,20171020
GNV,null,Alachua County Fair,festivals,festivals,29.682793,-82.284806,0.0,0.0,20171020
GNV,null,Blessed Trinity Carnival,festivals,festivals,29.172118,-82.13601,0.0,0.0,20171020
PVD,null,Cranston Beervana Fest,festivals,festivals,41.767125,-71.395345,0.0,0.0,20171020
SDF,null,Louisville Mini Maker Faire,festivals,festivals,38.252429,-85.756911,0.0,0.0,20171020
SEA,null,Twiddle,concerts,concerts,47.652176,-122.353894,0.0,0.0,20171020
YYZ,null,Fall Cottage Life Show,expos,expos,43.703265,-79.63767,0.0,0.0,20171020
BUR,null,JR JR,concerts,concerts,34.070202,-118.349998,0.0,0.0,20171020
TRN,null,Il Lago Dei Cigni,performing-arts,performing-arts,44.8833,7.35,0.0,0.0,20171218
RTM,null,Hidden Agenda Deluxe Danni Nicholls and Eric Devries,concerts,concerts,51.695633,5.297468,0.0,0.0,20171218
TXL,null,The Art of Banksy Exhibition,performing-arts,performing-arts,52.51511,13.37969,0.0,0.0,20171218
LIN,null,Benedict Gospel Choir,concerts,concerts,45.4667,9.2,0.0,0.0,20171218
LHR,null,Tennis - ATP World Tour Finals London,sports,tennis,51.4702809,-0.4549409,0.0,0.0,20171102
SYD,null,Rugby league - Women's World Cup Australia,sports,rugby,-33.9399183,151.1730877,0.0,0.0,20171116
CBR,null,Australia Women v England Women 2nd Twenty20 international,sports,sports,-35.3052283,149.1912047,0.0,0.0,20171119
CBR,null,Women's Cricket - Australia Women v England Women, sports,tennis,-35.3052283,149.1912047,0.0,0.0,20171121
BNE,null,Cricket - Australia v England first Ashes Test,sports,cricket,-27.3942096,153.1196416,0.0,0.0,20171123
AUH,null,Formula 1 - Abu Dhabi Grand Prix (final race of the season),sports,f1,24.4419429,54.6478849,0.0,0.0,20171126
BNE,null,Rugby league - World Cup final,sports,rugby,-27.3942096,153.1196416,0.0,0.0,20171202
PER,null,Cricket - Australia v England third Ashes Test Perth,sports,cricket,-31.938543,115.9650605,0.0,0.0,20171214
LHR,null,Boxing - Tony Bellew v David Haye O2 Arena London,sports,cricket,51.4702809,-0.4549409,0.0,0.0,20171217
MEL,null,Cricket - Australia v England fourth Ashes Test Melbourne,sports,cricket,-37.669008,144.8388386,0.0,0.0,20171226
